Timecode List:,00:00:04.999,00:00:12.206,00:00:15.789,00:00:19.539,00:00:22.830,00:00:27.079,00:00:30.662,00:00:34.161,00:00:37.911,00:00:41.285,00:00:45.534,00:00:49.117,00:00:52.617,00:00:56.366,00:00:59.782,00:01:03.990,00:01:07.573,00:01:11.114,00:01:14.821,00:01:18.196,00:01:22.403,00:01:25.945,00:01:29.402,00:01:32.943,00:01:37.276,00:01:40.817,00:01:44.442,00:01:47.816,00:01:51.399,00:01:55.731,00:01:59.273,00:02:02.980,00:02:06.230,00:02:11.687,00:02:19.728,00:02:23.102,00:02:26.768,00:02:30.434,00:02:33.850,00:02:37.933,00:02:41.557,00:02:45.349,00:02:48.765,00:02:52.722,00:02:56.263,00:03:00.096,00:03:07.637,00:03:20.843,00:03:24.426,00:03:28.175,00:03:31.466,00:03:35.715,00:03:39.298,00:03:42.798,00:03:46.547,00:03:49.922,00:03:54.171,00:03:57.754,00:04:01.253,00:04:05.002,00:04:08.419,00:04:12.626,00:04:16.209,00:04:19.750,00:04:23.458,00:04:26.832,00:04:31.040,00:04:34.581,00:04:38.039,00:04:41.580,00:04:45.913,00:04:49.454,00:04:53.078,00:04:56.453,00:05:00.035,00:05:04.368,00:05:07.909,00:05:11.617,00:05:14.866,00:05:20.324,00:05:28.364,00:05:31.739,00:05:35.405,00:05:39.071,00:05:42.487,00:05:46.570,00:05:50.194,00:05:53.985,00:05:57.401,00:06:01.359,00:06:04.900,00:06:08.733,00:06:16.273,00:06:22.272
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,120,00:00:04.999,4.999,120,00:00:04.999,4.999
2,121,00:00:04.999,4.999,293,00:00:12.206,12.206,173,00:00:07.207,7.207
3,294,00:00:12.206,12.206,379,00:00:15.789,15.789,86,00:00:03.583,3.583
4,380,00:00:15.789,15.789,469,00:00:19.539,19.539,90,00:00:03.749,3.749
5,470,00:00:19.539,19.539,548,00:00:22.830,22.830,79,00:00:03.291,3.291
6,549,00:00:22.830,22.830,650,00:00:27.079,27.079,102,00:00:04.249,4.249
7,651,00:00:27.079,27.079,736,00:00:30.662,30.662,86,00:00:03.583,3.583
8,737,00:00:30.662,30.662,820,00:00:34.161,34.161,84,00:00:03.499,3.499
9,821,00:00:34.161,34.161,910,00:00:37.911,37.911,90,00:00:03.749,3.749
10,911,00:00:37.911,37.911,991,00:00:41.285,41.285,81,00:00:03.374,3.374
11,992,00:00:41.285,41.285,1093,00:00:45.534,45.534,102,00:00:04.249,4.249
12,1094,00:00:45.534,45.534,1179,00:00:49.117,49.117,86,00:00:03.583,3.583
13,1180,00:00:49.117,49.117,1263,00:00:52.617,52.617,84,00:00:03.499,3.499
14,1264,00:00:52.617,52.617,1353,00:00:56.366,56.366,90,00:00:03.749,3.749
15,1354,00:00:56.366,56.366,1435,00:00:59.782,59.782,82,00:00:03.416,3.416
16,1436,00:00:59.782,59.782,1536,00:01:03.990,63.990,101,00:00:04.208,4.208
17,1537,00:01:03.990,63.990,1622,00:01:07.573,67.573,86,00:00:03.583,3.583
18,1623,00:01:07.573,67.573,1707,00:01:11.114,71.114,85,00:00:03.541,3.541
19,1708,00:01:11.114,71.114,1796,00:01:14.821,74.821,89,00:00:03.708,3.708
20,1797,00:01:14.821,74.821,1877,00:01:18.196,78.196,81,00:00:03.374,3.374
21,1878,00:01:18.196,78.196,1978,00:01:22.403,82.403,101,00:00:04.208,4.208
22,1979,00:01:22.403,82.403,2063,00:01:25.945,85.945,85,00:00:03.541,3.541
23,2064,00:01:25.945,85.945,2146,00:01:29.402,89.402,83,00:00:03.458,3.458
24,2147,00:01:29.402,89.402,2231,00:01:32.943,92.943,85,00:00:03.541,3.541
25,2232,00:01:32.943,92.943,2335,00:01:37.276,97.276,104,00:00:04.333,4.333
26,2336,00:01:37.276,97.276,2420,00:01:40.817,100.817,85,00:00:03.541,3.541
27,2421,00:01:40.817,100.817,2507,00:01:44.442,104.442,87,00:00:03.624,3.624
28,2508,00:01:44.442,104.442,2588,00:01:47.816,107.816,81,00:00:03.374,3.374
29,2589,00:01:47.816,107.816,2674,00:01:51.399,111.399,86,00:00:03.583,3.583
30,2675,00:01:51.399,111.399,2778,00:01:55.731,115.731,104,00:00:04.333,4.333
31,2779,00:01:55.731,115.731,2863,00:01:59.273,119.273,85,00:00:03.541,3.541
32,2864,00:01:59.273,119.273,2952,00:02:02.980,122.980,89,00:00:03.708,3.708
33,2953,00:02:02.980,122.980,3030,00:02:06.230,126.230,78,00:00:03.249,3.249
34,3031,00:02:06.230,126.230,3161,00:02:11.687,131.687,131,00:00:05.457,5.457
35,3162,00:02:11.687,131.687,3354,00:02:19.728,139.728,193,00:00:08.040,8.040
36,3355,00:02:19.728,139.728,3435,00:02:23.102,143.102,81,00:00:03.374,3.374
37,3436,00:02:23.102,143.102,3523,00:02:26.768,146.768,88,00:00:03.666,3.666
38,3524,00:02:26.768,146.768,3611,00:02:30.434,150.434,88,00:00:03.666,3.666
39,3612,00:02:30.434,150.434,3693,00:02:33.850,153.850,82,00:00:03.416,3.416
40,3694,00:02:33.850,153.850,3791,00:02:37.933,157.933,98,00:00:04.083,4.083
